nbStage TH DiffFailed diffUp Diffdown iidUp iidDown Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer Alter6Rev_singleBuffers
30 0.603823 1 5.0 2.0 5.0 2.0 2075 19282.26368 18000.03321 35 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 
30 0.639342 1 5.0 2.0 5.0 2.0 987 18775.15821 18000.0254 37 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 
30 0.674861 1 5.0 2.0 5.0 2.0 441 18477.94727 18000.05469 39 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 
30 0.603823 1 5.0 2.0 5.0 2.0 2066 19289.71094 18000.02344 35 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 
30 0.639342 1 5.0 2.0 5.0 2.0 887 18709.37696 18000.01954 37 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 
30 0.674861 1 5.0 2.0 5.0 2.0 447 18486.48829 18000.06446 39 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
30 0.603823 1 5.0 2.0 5.0 2.0 2075 19294.75586 18000.14844 35 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 
30 0.639342 1 5.0 2.0 5.0 2.0 1028 18745.94336 18000.03907 37 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 
30 0.674861 1 5.0 2.0 5.0 2.0 477 18507.72266 18000.07227 39 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 
30 0.603823 1 5.0 2.0 5.0 2.0 2004 19542.66211 18000.08204 35 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 
30 0.639342 1 5.0 2.0 5.0 2.0 853 18797.79297 18000.01758 37 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 
30 0.674861 1 5.0 2.0 5.0 2.0 468 18568.32813 18000.06641 39 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 
30 0.603823 1 5.0 2.0 5.0 2.0 1933 19439.38868 18000.03125 36 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 
30 0.639342 1 5.0 2.0 5.0 2.0 808 18752.76563 18000.01758 37 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 
30 0.674861 1 5.0 2.0 5.0 2.0 446 18551.39649 18000.05469 39 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 3, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 
