nbStage BNEfficiency BNposition Sigma noBN_CT Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer BAP
4 0.72 FF 0.85 1.5 50 28.06 0.939 15 12,2,1
6 0.72 FF 0.85 1.5 475 342.176 135.55698 19 12,4,1,1,1
8 0.72 FF 0.85 1.5 3789 19785.5879 18000.0254 21 10,3,3,4,1,0,0
4 0.72 MM 0.85 1.5 59 33.23501 1.194 17 3,12,2
6 0.72 MM 0.85 1.5 602 431.69602 186.26198 22 0,4,15,3,0
8 0.72 MM 0.85 1.5 3513 19764.16016 18000.01758 24 0,0,7,12,5,0,0
4 0.72 ML 0.85 1.5 65 32.31001 1.011 15 0,5,10
6 0.72 ML 0.85 1.5 1467 1364.417 804.88782 19 0,0,7,6,6
8 0.72 ML 0.85 1.5 3953 20215.44922 18000.0254 16 0,0,2,2,2,7,3
4 0.72 FF 0.85 1.5 55 38.14401 6.247 16 10,6,0
6 0.72 FF 0.85 1.5 488 416.47602 194.43493 19 12,4,1,2,0
8 0.72 FF 0.85 1.5 3571 19924.37696 18000.02344 21 9,7,4,0,1,0,0
4 0.72 MM 0.85 1.5 61 36.599 6.489 17 3,12,2
6 0.72 MM 0.85 1.5 628 524.63599 252.28501 22 1,4,12,4,1
8 0.72 MM 0.85 1.5 3243 19799.36524 18000.17383 24 1,2,7,7,1,3,3
4 0.72 ML 0.85 1.5 62 30.88501 0.87701 15 0,5,10
6 0.72 ML 0.85 1.5 1228 1115.48206 587.6764 18 0,1,5,4,8
8 0.72 ML 0.85 1.5 4069 20264.41602 18000.01758 16 0,1,0,4,1,1,9
